id,name,nationality,dynamicRating,age,impact_total,overall_rating,is_overseas,is_uncapped,form_score,current_retained_count,current_overseas_retained_count,retain_decision
IPL26-044,Pathum Nissanka,Sri Lankan,69.0,28.0,0.0,69.0,1,0,76.78417276763406,4,1,0
IPL26-045,David Miller,South African,80.0,116.0,0.0,80.0,1,0,59.79754162893099,0,0,0
IPL26-046,Ben Duckett,English,84.0,31.0,0.0,84.0,1,0,48.13433606566149,1,0,0
IPL26-047,Lungi Ngidi,South African,77.0,30.0,0.0,77.0,1,0,69.33817368154783,1,0,0
IPL26-048,Kyle Jamieson,New Zealander,,26.0,0.0,50.0,1,0,11.687345250434667,0,0,0
IPL26-049,Prithvi Shaw,Indian,72.0,26.0,0.0,72.0,0,0,55.132953925071334,1,0,0
IPL26-050,Sahil Parakh,Indian,61.0,26.0,0.0,61.0,0,0,11.604948141803366,5,1,0
IPL26-051,Shubman Gill,Indian,84.0,26.0,1502.36,84.0,0,0,100.0,5,0,0
IPL26-052,Rashid Khan,Afghan,,26.0,1036.91,50.0,1,0,100.0,0,0,0
IPL26-053,Jos Buttler,English,86.0,35.0,0.0,86.0,1,0,46.07720926652354,4,2,0
IPL26-054,Kagiso Rabada,South African,89.0,31.0,0.0,89.0,1,0,71.95291853803685,4,0,0
IPL26-055,Mohammed Siraj,Indian,79.0,32.0,835.35,79.0,0,0,100.0,0,0,0
IPL26-056,Sai Sudharsan,Indian,83.0,24.0,1572.25,83.0,0,0,100.0,4,0,0
IPL26-057,Prasidh Krishna,Indian,77.0,30.0,571.61,77.0,0,0,100.0,4,1,0
IPL26-058,Washington Sundar,Indian,,26.0,670.48,50.0,0,0,100.0,5,2,0
IPL26-059,Rahul Tewatia,Indian,,33.0,0.0,50.0,0,0,41.07699869993115,4,0,0
IPL26-060,Shahrukh Khan,Indian,66.0,60.0,378.48,66.0,0,0,100.0,2,1,0
IPL26-061,R. Sai Kishore,Indian,75.0,26.0,0.0,75.0,0,0,57.57052421784956,3,2,0
IPL26-062,Glenn Phillips,New Zealander,61.0,52.0,0.0,61.0,1,0,39.265275764176394,1,2,0
IPL26-063,Jayant Yadav,Indian,61.0,36.0,0.0,61.0,0,0,36.48344456616067,2,0,0
IPL26-064,Anuj Rawat,Indian,66.0,26.0,109.12,66.0,0,0,100.0,4,0,0
IPL26-065,Kumar Kushagra,Indian,56.0,21.0,18.97,56.0,0,1,100.0,5,0,0
IPL26-066,Gurnoor Singh Brar,Indian,65.0,26.0,0.0,65.0,0,0,22.822170144488588,0,0,0
IPL26-067,Nishant Sindhu,Indian,61.0,22.0,0.0,61.0,0,1,30.20233687407937,4,0,0
IPL26-068,Manav Suthar,Indian,58.0,23.0,0.0,58.0,0,1,31.090418435603187,5,2,0
IPL26-069,Ishant Sharma,Indian,78.0,37.0,0.0,78.0,0,0,73.85683339328374,3,2,0
IPL26-070,Arshad Khan,Indian,64.0,26.0,357.1,64.0,0,0,100.0,4,0,0
IPL26-071,Jason Holder,West Indian,,41.0,0.0,50.0,0,0,35.15427434352692,0,0,0
IPL26-072,Tom Banton,English,58.0,27.0,0.0,58.0,1,0,11.554397669558991,5,2,0
IPL26-073,Ashok Sharma,Indian,64.0,26.0,94.13,64.0,0,0,100.0,5,1,0
IPL26-074,Luke Wood,English,50.0,26.0,0.0,50.0,1,0,34.86125954092192,5,0,0
IPL26-075,Prithvi Raj,Indian,73.0,26.0,0.0,73.0,0,0,47.22376579375525,3,0,0
IPL26-076,Sunil Narine,West Indian,,37.0,0.0,50.0,0,0,19.84616999541062,4,2,0
IPL26-077,Varun Chakravarthy,Indian,85.0,34.0,0.0,85.0,0,0,74.17514433261302,3,0,0
IPL26-078,Rinku Singh,Indian,74.0,37.0,0.0,74.0,0,0,69.46499283743927,1,1,0
IPL26-079,Harshit Rana,Indian,73.0,24.0,541.9,73.0,0,0,100.0,1,2,0
IPL26-080,Angkrish Raghuvanshi,Indian,73.0,22.0,0.0,73.0,0,1,66.96920178674299,4,0,0
IPL26-081,Ramandeep Singh,Indian,,26.0,355.97,50.0,0,0,100.0,3,2,0
IPL26-082,Ajinkya Rahane,Indian,84.0,38.0,0.0,84.0,0,0,51.41173715166042,0,0,0
IPL26-083,Rovman Powell,West Indian,67.0,32.0,0.0,67.0,0,0,42.36181436223178,5,0,0
IPL26-084,Vaibhav Arora,Indian,73.0,28.0,0.0,73.0,0,0,57.96895147105346,5,0,0
IPL26-085,Manish Pandey,Indian,79.0,26.0,0.0,79.0,0,0,73.63317690683539,4,1,0
IPL26-086,Anukul Roy,Indian,69.0,27.0,0.0,69.0,0,0,41.81238643232065,1,1,0
IPL26-087,Umran Malik,Indian,65.0,26.0,0.0,65.0,0,0,42.215115350042744,1,2,0
IPL26-088,Cameron Green,Australian,,26.0,0.0,50.0,1,0,13.404975389909577,5,0,0
IPL26-089,Matheesha Pathirana,Sri Lankan,77.0,24.0,0.0,77.0,1,0,39.05690063878994,4,0,0
IPL26-090,Mustafizur Rahman,Bangladeshi,77.0,30.0,258.07,77.0,1,0,100.0,3,1,0
IPL26-091,Tejasvi Singh,Indian,78.0,26.0,0.0,78.0,0,0,70.18788733591298,1,0,0
IPL26-092,Finn Allen,New Zealander,74.0,27.0,0.0,74.0,1,0,74.34360042856234,3,1,0
IPL26-093,Rachin Ravindra,New Zealander,67.0,26.0,0.0,67.0,1,0,45.91984817629499,1,0,0
IPL26-094,Tim Seifert,New Zealander,58.0,24.0,0.0,58.0,1,0,53.052993468380365,1,2,0
IPL26-095,Akash Deep,Indian,58.0,26.0,74.49,58.0,0,0,100.0,2,0,0
IPL26-096,Rahul Tripathi,Indian,73.0,26.0,0.0,73.0,0,0,58.424540375714514,1,0,0
IPL26-097,Prashant Solanki,Indian,75.0,26.0,0.0,75.0,0,0,45.323203680923136,0,0,0
IPL26-098,Kartik Tyagi,Indian,71.0,25.0,267.17,71.0,0,0,100.0,4,0,0
IPL26-099,Sarthak Ranjan,Indian,59.0,29.0,0.0,59.0,0,0,44.42093408262621,4,0,0
IPL26-100,Daksh Kamra,Indian,50.0,26.0,0.0,50.0,0,0,53.07054849698954,3,1,0
IPL26-101,Rishabh Pant,Indian,82.0,28.0,0.0,82.0,0,0,61.46260941335073,1,2,0
IPL26-102,Nicholas Pooran,West Indian,77.0,30.0,0.0,77.0,0,0,80.4696548372101,0,0,0
IPL26-103,Mayank Yadav,Indian,63.0,26.0,0.0,63.0,0,0,3.703823438653835,3,1,0
IPL26-104,Mohammed Shami,Indian,77.0,36.0,366.12,77.0,0,0,100.0,2,1,0
IPL26-105,Mohsin Khan,Indian,75.0,38.0,341.0,75.0,0,0,100.0,3,1,0
IPL26-106,Ayush Badoni,Indian,70.0,26.0,0.0,70.0,0,0,62.32853756562836,3,1,0
IPL26-107,Avesh Khan,Indian,73.0,29.0,614.92,73.0,0,0,100.0,1,1,0
IPL26-108,Abdul Samad,Indian,66.0,54.0,652.13,66.0,0,0,100.0,2,2,0
IPL26-109,Mitchell Marsh,Australian,,34.0,0.0,50.0,1,0,31.30570602357257,3,2,0
IPL26-110,Aiden Markram,South African,,31.0,0.0,50.0,1,0,25.514889743011988,0,0,0
IPL26-111,Shahbaz Ahmed,Indian,,57.0,458.64,50.0,0,0,100.0,0,0,0
IPL26-112,Matthew Breetzke,South African,61.0,27.0,0.0,61.0,1,0,42.37641164803254,4,1,0
IPL26-113,Digvesh Rathi,Indian,65.0,26.0,0.0,65.0,0,0,15.186466280986608,2,0,0
IPL26-114,Himmat Singh,Indian,66.0,29.0,101.92,66.0,0,0,100.0,2,1,0
IPL26-115,Arshin Kulkarni,Indian,56.0,26.0,0.0,56.0,0,0,32.70492168243732,4,1,0
IPL26-116,Manimaran Siddharth,Indian,68.0,27.0,0.0,68.0,0,0,53.3566885726762,3,2,0
IPL26-117,Akash Singh,Indian,67.0,39.0,96.39,67.0,0,0,100.0,2,0,0
IPL26-118,Arjun Tendulkar,Indian,64.0,26.0,32.51,64.0,0,0,100.0,0,0,0
IPL26-119,Prince Yadav,Indian,52.0,24.0,347.54,52.0,0,0,100.0,0,0,0
IPL26-120,Josh Inglis,Australian,74.0,31.0,0.0,74.0,1,0,76.16841067112274,1,2,0
IPL26-121,Akshat Raghuwanshi,Indian,59.0,22.0,22.82,59.0,0,1,100.0,2,2,0
IPL26-122,Mukul Choudhary,Indian,71.0,21.0,0.0,71.0,0,1,43.22594672589529,3,2,0
IPL26-123,Wanindu Hasaranga,Sri Lankan,76.0,28.0,0.0,76.0,1,0,43.87259595660218,4,0,0
IPL26-124,Anrich Nortje,South African,76.0,32.0,0.0,76.0,1,0,48.47364434623195,4,0,0
IPL26-125,Naman Tiwari,Indian,76.0,26.0,0.0,76.0,0,0,69.73103176553111,3,1,0
IPL26-126,Rohit Sharma,Indian,54.0,39.0,0.0,54.0,0,0,38.93126664489527,5,1,0
IPL26-127,Jasprit Bumrah,Indian,95.0,32.0,0.0,95.0,0,0,67.05359694349441,1,2,1
IPL26-128,Suryakumar Yadav,Indian,84.0,35.0,0.0,84.0,0,0,71.69901149670034,4,2,0
IPL26-129,Hardik Pandya,Indian,,32.0,0.0,50.0,0,0,31.456163240220604,2,2,0
IPL26-130,Tilak Varma,Indian,76.0,23.0,1185.21,76.0,0,1,100.0,1,1,1
IPL26-131,Trent Boult,New Zealander,87.0,36.0,0.0,87.0,1,0,81.52967485799334,2,1,1
IPL26-132,Deepak Chahar,Indian,80.0,26.0,0.0,80.0,0,0,49.469203591839715,0,0,0
IPL26-133,Naman Dhir,Indian,71.0,26.0,863.67,71.0,0,0,100.0,1,1,0
IPL26-134,Will Jacks,English,,27.0,0.0,50.0,1,0,25.085067801033475,4,1,0
IPL26-135,Robin Minz,Indian,55.0,23.0,0.0,55.0,0,1,29.118377703017636,1,1,0
IPL26-136,Ryan Rickelton,South African,73.0,29.0,0.0,73.0,1,0,31.04727577801822,1,1,0
IPL26-137,Shardul Thakur,Indian,,34.0,0.0,50.0,0,0,34.44180415596864,1,2,0
IPL26-138,Sherfane Rutherford,West Indian,67.0,27.0,0.0,67.0,0,0,50.91582908269834,5,2,0
IPL26-139,Mayank Markande,Indian,72.0,28.0,0.0,72.0,0,0,52.07670184963691,1,2,0
IPL26-140,Allah Ghazanfar,Afghan,70.0,26.0,0.0,70.0,1,0,46.481192999372794,2,2,0
IPL26-141,Corbin Bosch,South African,,31.0,0.0,50.0,1,0,8.769438869243785,0,0,0
IPL26-142,Mitchell Santner,New Zealander,,34.0,0.0,50.0,1,0,23.690320158519615,3,0,0
IPL26-143,Ashwani Kumar,Indian,73.0,97.0,180.0,73.0,0,0,100.0,1,1,0
IPL26-144,Raj Angad Bawa,Indian,62.0,23.0,0.0,62.0,0,1,36.85928225209846,4,0,0
IPL26-145,Raghu Sharma,Indian,59.0,67.0,37.39,59.0,0,0,100.0,1,2,0
IPL26-146,Quinton de Kock,South African,79.0,33.0,0.0,79.0,1,0,46.96584096167572,4,1,0
IPL26-147,Atharva Ankolekar,Indian,,25.0,0.0,50.0,0,0,27.580714325009865,2,2,0
IPL26-148,Mohammad Izhar,Indian,76.0,68.0,0.0,76.0,0,0,62.060762852218076,4,1,0
IPL26-149,Danish Malewar,Indian,52.0,26.0,0.0,52.0,0,0,60.29278851815795,3,2,0
IPL26-150,Mayank Rawat,Indian,56.0,26.0,0.0,56.0,0,0,38.61866719247759,0,0,0
IPL26-151,Shreyas Iyer,Indian,83.0,31.0,0.0,83.0,0,0,66.86325586084146,4,0,0
IPL26-152,Arshdeep Singh,Indian,78.0,21.0,828.89,78.0,0,1,100.0,4,0,1
IPL26-153,Yuzvendra Chahal,Indian,100.0,35.0,0.0,100.0,0,0,78.8833112635075,0,0,1
IPL26-154,Marco Jansen,South African,,26.0,0.0,50.0,1,0,1.2184317705143783,3,0,0
IPL26-155,Prabhsimran Singh,Indian,74.0,25.0,0.0,74.0,0,0,53.602291868261744,1,1,0
IPL26-156,Harpreet Brar,Indian,,30.0,492.23,50.0,0,0,100.0,4,0,0
IPL26-157,Shashank Singh,Indian,73.0,26.0,1092.28,73.0,0,0,100.0,0,0,0
IPL26-158,Azmatullah Omarzai,Afghan,,26.0,458.76,50.0,1,0,100.0,2,1,0
IPL26-159,Nehal Wadhera,Indian,68.0,25.0,0.0,68.0,0,0,48.9034531491154,0,0,0
IPL26-160,Xavier Bartlett,Australian,55.0,27.0,0.0,55.0,1,0,71.94863168727929,2,0,0
IPL26-161,Lockie Ferguson,New Zealander,74.0,35.0,0.0,74.0,1,0,51.114585528283165,3,1,0
IPL26-162,Marcus Stoinis,Australian,,36.0,0.0,50.0,1,0,34.523210135004184,1,0,0
IPL26-163,Mitch Owen,Australian,,22.0,0.0,50.0,1,1,29.47932345442135,0,0,0
IPL26-164,Musheer Khan,Indian,61.0,26.0,9.79,61.0,0,0,98.94999999999999,5,2,0
IPL26-165,Priyansh Arya,Indian,74.0,25.0,912.18,74.0,0,0,100.0,4,2,0
IPL26-166,Vyshak Vijaykumar,Indian,62.0,26.0,0.0,62.0,0,0,24.46982943570702,3,2,0
IPL26-167,Yash Thakur,Indian,67.0,26.0,223.54,67.0,0,0,100.0,0,0,0
IPL26-168,Pyla Avinash,Indian,63.0,25.0,0.0,63.0,0,0,60.14234221772531,4,2,0
IPL26-169,Harnoor Pannu,Indian,64.0,26.0,0.0,64.0,0,0,55.27899549030161,0,0,0
IPL26-170,Vishnu Vinod,Indian,62.0,32.0,15.19,62.0,0,0,100.0,2,2,0
IPL26-171,Suryansh Shedge,Indian,67.0,23.0,226.14,67.0,0,1,100.0,0,0,0
IPL26-172,Cooper Connolly,Australian,75.0,22.0,0.0,75.0,1,1,66.8654792056457,5,2,0
IPL26-173,Ben Dwarshuis,Australian,56.0,31.0,0.0,56.0,1,0,22.359188178078917,0,0,0
IPL26-174,Praveen Dubey,Indian,59.0,32.0,0.0,59.0,0,0,60.041914664041485,0,0,0
IPL26-175,Vishal Nishad,Indian,51.0,26.0,0.0,51.0,0,0,9.972234058115788,5,0,0
IPL26-176,Yashasvi Jaiswal,Indian,78.0,24.0,0.0,78.0,0,0,66.80285640700406,3,2,0
IPL26-177,Ravindra Jadeja,Indian,,37.0,0.0,50.0,0,0,62.856834387149675,0,0,0
IPL26-178,Riyan Parag,Indian,,24.0,0.0,50.0,0,0,15.141955123039676,5,2,0
IPL26-179,Jofra Archer,English,80.0,31.0,0.0,80.0,1,0,51.50553405595842,4,0,0
IPL26-180,Dhruv Jurel,Indian,73.0,25.0,1059.22,73.0,0,0,100.0,2,1,0
IPL26-181,Shimron Hetmyer,West Indian,72.0,29.0,0.0,72.0,0,0,53.49477047631462,2,0,0
IPL26-182,Sam Curran,English,,114.0,0.0,50.0,1,0,22.447865188257012,0,0,0
IPL26-183,Sandeep Sharma,Indian,77.0,26.0,459.67,77.0,0,0,100.0,3,2,0
IPL26-184,Vaibhav Suryavanshi,Indian,80.0,15.0,0.0,80.0,0,1,36.74004853400801,3,2,1
IPL26-185,Tushar Deshpande,Indian,72.0,26.0,0.0,72.0,0,0,53.02844462209041,4,0,0
IPL26-186,Shubham Dubey,Indian,72.0,32.0,0.0,72.0,0,0,36.06544429410843,0,0,0
IPL26-187,Yudhvir Charak,Indian,66.0,26.0,0.0,66.0,0,0,53.10388645952772,2,1,0
IPL26-188,Kwena Maphaka,South African,52.0,20.0,0.0,52.0,1,1,18.208636486492953,3,1,0
IPL26-189,Lhuan-Dre Pretorius,South African,57.0,20.0,0.0,57.0,1,1,60.24901607526309,0,0,0
IPL26-190,Nandre Burger,South African,70.0,30.0,0.0,70.0,1,0,38.251200614956446,3,1,0
IPL26-191,Donovan Ferreira,South African,69.0,27.0,0.0,69.0,1,0,44.16907725691487,5,0,0
IPL26-192,Ravi Bishnoi,Indian,74.0,25.0,466.26,74.0,0,0,100.0,3,1,0
IPL26-193,Adam Milne,New Zealander,59.0,34.0,0.0,59.0,1,0,51.202758260545046,2,0,0
IPL26-194,Ravi Singh,Indian,59.0,26.0,4.35,59.0,0,0,71.75,1,0,0
IPL26-195,Sushant Mishra,Indian,75.0,25.0,0.0,75.0,0,0,36.53703525349067,4,0,0
IPL26-196,Kuldeep Sen,Indian,70.0,29.0,0.0,70.0,0,0,53.41189901906194,4,1,0
IPL26-197,Brijesh Sharma,Indian,67.0,26.0,210.22,67.0,0,0,100.0,2,1,0
IPL26-198,Aman Rao Perala,Indian,71.0,26.0,0.0,71.0,0,0,70.60714131423643,3,1,0
IPL26-199,Vignesh Puthur,Indian,73.0,25.0,0.0,73.0,0,0,28.88775148158159,0,0,0
IPL26-200,Virat Kohli,Indian,100.0,37.0,0.0,100.0,0,0,82.76950787798457,3,1,1
IPL26-201,Rajat Patidar,Indian,75.0,33.0,0.0,75.0,0,0,58.89824191372635,2,1,0
IPL26-202,Phil Salt,English,75.0,47.0,0.0,75.0,1,0,66.72734307665965,4,0,0
IPL26-203,Josh Hazlewood,Australian,79.0,35.0,0.0,79.0,1,0,40.44573933682877,3,2,0
IPL26-204,Yash Dayal,Indian,68.0,28.0,485.16,68.0,0,0,100.0,4,0,0
IPL26-205,Krunal Pandya,Indian,,35.0,0.0,50.0,0,0,10.193150803735854,0,0,0
IPL26-206,Bhuvneshwar Kumar,Indian,98.0,36.0,0.0,98.0,0,0,85.82912348425347,4,0,1
IPL26-207,Tim David,Singaporean,74.0,26.0,0.0,74.0,1,0,58.45477009849779,4,2,0
IPL26-208,Romario Shepherd,West Indian,,31.0,0.0,50.0,0,0,33.75739275518815,1,0,0
IPL26-209,Nuwan Thushara,Sri Lankan,68.0,31.0,0.0,68.0,1,0,53.19672314245464,1,1,0
IPL26-210,Swapnil Singh,Indian,66.0,35.0,131.12,66.0,0,0,100.0,5,2,0
IPL26-211,Jacob Bethell,English,64.0,20.0,0.0,64.0,1,1,33.79962917632264,1,1,0
IPL26-212,Devdutt Padikkal,Indian,73.0,25.0,0.0,73.0,0,0,56.48380545741505,4,2,0
IPL26-213,Suyash Sharma,Indian,64.0,26.0,369.66,64.0,0,0,100.0,2,2,0
IPL26-214,Rasikh Dar,Indian,71.0,26.0,0.0,71.0,0,0,55.39608709948022,4,0,0
IPL26-215,Jitesh Sharma,Indian,56.0,32.0,0.0,56.0,0,0,25.28472872960448,2,0,0
IPL26-216,Abhinandan Singh,Indian,59.0,26.0,38.42,59.0,0,0,100.0,2,1,0
IPL26-217,Venkatesh Iyer,Indian,,35.0,0.0,50.0,0,0,57.986617667171345,1,0,0
IPL26-218,Jordan Cox,English,80.0,34.0,0.0,80.0,1,0,67.10749381367681,3,0,0
IPL26-219,Mangesh Yadav,Indian,65.0,26.0,0.0,65.0,0,0,27.130447541960272,0,0,0
IPL26-220,Vicky Kanhaiya Ostwal,Indian,74.0,26.0,0.0,74.0,0,0,63.84830412950745,1,0,0
IPL26-221,Kanishk Chouhan,Indian,50.0,26.0,0.0,50.0,0,0,15.379774946590178,1,2,0
IPL26-222,Vihaan Malhotra,Indian,50.0,19.0,0.0,50.0,0,1,41.806269056136784,3,2,0
IPL26-223,Satvik Deswal,Indian,77.0,26.0,0.0,77.0,0,0,74.37893368511106,0,0,0
IPL26-224,Yash Raj Punja,Indian,68.0,26.0,128.95,68.0,0,0,100.0,4,1,0
IPL26-225,Pat Cummins,Australian,,33.0,0.0,50.0,1,0,17.689765224724344,5,1,0
IPL26-226,Heinrich Klaasen,South African,80.0,97.0,0.0,80.0,1,0,74.45064193866483,5,1,0
IPL26-227,Travis Head,Australian,75.0,32.0,0.0,75.0,1,0,61.191713904047475,4,2,0
IPL26-228,Abhishek Sharma,Indian,,26.0,1410.48,50.0,0,0,100.0,1,1,0
IPL26-229,Nitish Kumar Reddy,Indian,,23.0,0.0,50.0,0,1,42.33090239991735,0,0,0
IPL26-230,Ishan Kishan,Indian,78.0,27.0,1062.44,78.0,0,0,100.0,1,0,0
IPL26-231,Harshal Patel,Indian,88.0,35.0,0.0,88.0,0,0,96.4518947398092,2,1,1
IPL26-232,Jaydev Unadkat,Indian,81.0,33.0,0.0,81.0,0,0,57.31917825995694,1,1,0
IPL26-233,Zeeshan Ansari,Indian,59.0,26.0,99.75,59.0,0,0,100.0,1,2,0
IPL26-234,Brydon Carse,English,72.0,30.0,0.0,72.0,1,0,40.693957534637654,4,2,0
IPL26-235,Kamindu Mendis,Sri Lankan,65.0,27.0,0.0,65.0,1,0,31.65728355561715,4,2,0
IPL26-236,Harsh Dubey,Indian,70.0,23.0,174.77,70.0,0,1,100.0,4,2,0
IPL26-237,Aniket Verma,Indian,66.0,24.0,403.65,66.0,0,0,100.0,5,2,0
IPL26-238,Eshan Malinga,Sri Lankan,74.0,25.0,0.0,74.0,1,0,41.762845725518424,2,2,0
IPL26-239,Smaran Ravichandaran,Indian,73.0,26.0,0.0,73.0,0,0,51.843474358788434,4,1,0
IPL26-240,Liam Livingstone,English,,32.0,0.0,50.0,1,0,35.117279622249654,0,0,0
IPL26-241,Salil Arora,Indian,68.0,23.0,31.36,68.0,0,1,100.0,5,2,0
IPL26-242,Jack Edwards,Australian,,97.0,0.0,50.0,1,0,34.150361989950284,3,0,0
IPL26-243,Shivam Mavi,Indian,64.0,27.0,0.0,64.0,0,0,56.40774873554036,0,0,0
IPL26-244,Amit Kumar,Indian,56.0,26.0,0.0,56.0,0,0,36.19502837816861,0,0,0
IPL26-245,Onkar Tarmale,Indian,,26.0,0.0,50.0,0,0,51.80301115735975,4,1,0
IPL26-246,Sakib Hussain,Indian,71.0,21.0,221.1,71.0,0,1,100.0,3,2,0
IPL26-247,Praful Hinge,Indian,70.0,26.0,0.0,70.0,0,0,46.03014750143066,3,2,0
IPL26-248,Shivang Kumar,Indian,63.0,26.0,185.9,63.0,0,0,100.0,5,2,0
IPL26-249,Krains Fuletra,Indian,55.0,26.0,0.0,55.0,0,0,75.80253749884429,3,0,0
IPL26-250,Jake Fraser-McGurk,Australian,71.0,23.0,0.0,71.0,1,1,60.385010216475095,2,2,0
IPL26-251,Devon Conway,New Zealander,76.0,26.0,0.0,76.0,1,0,43.14263665375576,4,0,0
IPL26-252,Gus Atkinson,English,80.0,28.0,0.0,80.0,1,0,43.93661252908332,3,1,0
IPL26-253,Jamie Smith,English,71.0,37.0,0.0,71.0,1,0,58.23708622864778,5,2,0
IPL26-254,Deepak Hooda,Indian,,31.0,0.0,50.0,0,0,26.648058220112237,2,0,0
IPL26-255,Wiaan Mulder,South African,50.0,28.0,0.0,50.0,1,0,40.71000741138138,1,0,0
IPL26-256,Rahmanullah Gurbaz,Afghan,67.0,24.0,183.09,67.0,1,0,100.0,1,2,0
IPL26-257,Jonny Bairstow,English,75.0,36.0,0.0,75.0,1,0,62.09856436860317,2,1,0
IPL26-258,K.S. Bharat,Indian,67.0,26.0,0.0,67.0,0,0,45.90756631014691,5,1,0
IPL26-259,Gerald Coetzee,South African,67.0,25.0,0.0,67.0,1,0,34.29809422897392,2,1,0
IPL26-260,Spencer Johnson,Australian,57.0,38.0,0.0,57.0,1,0,14.277291629712032,4,0,0
IPL26-261,Fazalhaq Farooqi,Afghan,63.0,25.0,34.22,63.0,1,0,100.0,4,0,0
