id,name,role,nationality,basePrice,dynamicRating,age,form_runs,form_wickets,impact_total,overall_rating,is_overseas,is_uncapped,form_score,current_retained_count,current_overseas_retained_count,retain_decision
IPL26-024,Zak Foulkes,BOWLER,English,1.0,81.0,24.0,0.0,0.0,0.0,81.0,1,1,65.71370998892911,5,2,0
IPL26-025,Aman Khan,BOWLER,Indian,0.25,64.0,26.0,24.0,6.0,0.0,64.0,0,1,30.37963886718184,2,0,0
IPL26-026,KL Rahul,WICKET_KEEPER,Indian,2.0,87.0,34.0,482.0,0.0,1380.75,87.0,0,1,100.0,3,0,0
IPL26-027,Axar Patel,ALL_ROUNDER,Indian,2.0,,32.0,0.0,0.0,0.0,50.0,0,1,8.815444479970626,4,0,0
IPL26-028,Kuldeep Yadav,BOWLER,Indian,2.0,77.0,26.0,0.0,8.0,718.52,77.0,0,1,100.0,1,0,0
IPL26-029,T. Natarajan,BOWLER,Indian,2.0,75.0,26.0,0.0,0.0,0.0,75.0,0,1,76.98473153382331,3,0,0
IPL26-030,Mitchell Starc,BOWLER,Australian,1.5,80.0,36.0,0.0,0.0,0.0,80.0,1,1,56.61335549270196,1,0,0
IPL26-031,Tristan Stubbs,WICKET_KEEPER,South African,1.5,77.0,25.0,0.0,0.0,0.0,77.0,1,1,58.012923070318855,5,0,0
IPL26-032,Mukesh Kumar,BOWLER,Indian,1.5,67.0,26.0,0.0,6.0,521.18,67.0,0,1,100.0,2,1,0
IPL26-033,Nitish Rana,BATSMAN,Indian,2.0,76.0,32.0,0.0,0.0,0.0,76.0,0,1,34.62877720679815,0,0,0
IPL26-034,Abishek Porel,WICKET_KEEPER,Indian,1.0,69.0,23.0,235.0,0.0,743.92,69.0,0,1,100.0,2,0,0
IPL26-035,Ashutosh Sharma,BATSMAN,Indian,0.5,72.0,26.0,230.0,0.0,869.41,72.0,0,1,100.0,3,1,0
IPL26-036,Sameer Rizvi,BATSMAN,Indian,0.5,71.0,22.0,310.0,0.0,503.63,71.0,0,1,100.0,1,1,0
IPL26-037,Karun Nair,BATSMAN,Indian,1.5,70.0,34.0,0.0,0.0,0.0,70.0,0,1,41.834259132122256,1,2,0
IPL26-038,Dushmantha Chameera,BOWLER,Sri Lankan,1.0,61.0,34.0,0.0,0.0,0.0,61.0,1,1,42.663838845647994,4,0,0
IPL26-039,Vipraj Nigam,ALL_ROUNDER,Indian,0.5,,21.0,0.0,0.0,0.0,50.0,0,1,12.735096338665457,1,2,0
IPL26-040,Ajay Mandal,ALL_ROUNDER,Indian,0.25,,26.0,149.0,10.0,0.0,50.0,0,1,35.63547027518508,4,0,0
IPL26-041,Madhav Tiwari,BOWLER,Indian,0.25,70.0,22.0,0.0,0.0,0.0,70.0,0,1,40.99041965121793,5,1,0
IPL26-042,Tripurana Vijay,BOWLER,Indian,0.25,50.0,24.0,0.0,0.0,0.0,50.0,0,1,25.624593753100847,0,0,0
IPL26-043,Auqib Nabi Dar,ALL_ROUNDER,Indian,0.25,,26.0,0.0,0.0,0.0,50.0,0,1,20.974400816559047,3,1,0
IPL26-044,Pathum Nissanka,BATSMAN,Sri Lankan,1.0,69.0,28.0,0.0,0.0,0.0,69.0,1,1,76.78417276763406,4,1,0
IPL26-045,David Miller,BATSMAN,South African,2.0,80.0,26.0,0.0,0.0,0.0,80.0,1,1,59.79754162893099,0,0,0
IPL26-046,Ben Duckett,BATSMAN,English,1.0,84.0,31.0,0.0,0.0,0.0,84.0,1,1,48.13433606566149,1,0,0
IPL26-047,Lungi Ngidi,BOWLER,South African,1.5,77.0,30.0,0.0,0.0,0.0,77.0,1,1,69.33817368154783,1,0,0
IPL26-048,Kyle Jamieson,ALL_ROUNDER,New Zealander,1.5,,26.0,0.0,0.0,0.0,50.0,1,1,11.687345250434667,0,0,0
IPL26-049,Prithvi Shaw,BATSMAN,Indian,2.0,72.0,26.0,0.0,0.0,0.0,72.0,0,1,55.132953925071334,1,0,0
IPL26-050,Sahil Parakh,BATSMAN,Indian,0.25,61.0,26.0,0.0,0.0,0.0,61.0,0,1,11.604948141803366,5,1,0
IPL26-051,Shubman Gill,BATSMAN,Indian,2.0,84.0,26.0,435.0,0.0,1502.36,84.0,0,1,100.0,5,0,0
IPL26-052,Rashid Khan,ALL_ROUNDER,Afghan,2.0,,26.0,86.0,13.0,1036.91,50.0,1,1,100.0,0,0,0
IPL26-053,Jos Buttler,WICKET_KEEPER,English,2.0,86.0,35.0,0.0,0.0,0.0,86.0,1,1,46.07720926652354,4,2,0
IPL26-054,Kagiso Rabada,BOWLER,South African,2.0,89.0,31.0,0.0,0.0,0.0,89.0,1,1,71.95291853803685,4,0,0
IPL26-055,Mohammed Siraj,BOWLER,Indian,2.0,79.0,32.0,0.0,12.0,835.35,79.0,0,1,100.0,0,0,0
IPL26-056,Sai Sudharsan,BATSMAN,Indian,1.5,83.0,24.0,487.0,0.0,1572.25,83.0,0,1,100.0,4,0,1
IPL26-057,Prasidh Krishna,BOWLER,Indian,2.0,77.0,30.0,0.0,12.0,571.61,77.0,0,1,100.0,4,1,0
IPL26-058,Washington Sundar,ALL_ROUNDER,Indian,2.0,,26.0,240.0,4.0,670.48,50.0,0,1,100.0,5,2,0
IPL26-059,Rahul Tewatia,ALL_ROUNDER,Indian,2.0,,33.0,0.0,0.0,0.0,50.0,0,1,41.07699869993115,4,0,0
IPL26-060,Shahrukh Khan,BATSMAN,Indian,1.5,66.0,26.0,144.0,0.0,378.48,66.0,0,1,100.0,2,1,0
IPL26-061,R. Sai Kishore,BOWLER,Indian,1.5,75.0,26.0,0.0,0.0,0.0,75.0,0,1,57.57052421784956,3,2,0
IPL26-062,Glenn Phillips,BATSMAN,New Zealander,1.5,61.0,26.0,0.0,0.0,0.0,61.0,1,1,39.265275764176394,1,2,0
IPL26-063,Jayant Yadav,BOWLER,Indian,2.0,61.0,36.0,0.0,0.0,0.0,61.0,0,1,36.48344456616067,2,0,0
IPL26-064,Anuj Rawat,WICKET_KEEPER,Indian,0.5,66.0,26.0,282.0,0.0,109.12,66.0,0,1,100.0,4,0,0
IPL26-065,Kumar Kushagra,WICKET_KEEPER,Indian,0.5,56.0,21.0,21.0,0.0,18.97,56.0,0,1,100.0,5,0,0
IPL26-066,Gurnoor Singh Brar,BOWLER,Indian,0.5,65.0,26.0,0.0,0.0,0.0,65.0,0,1,22.822170144488588,0,0,0
IPL26-067,Nishant Sindhu,BATSMAN,Indian,0.5,61.0,22.0,0.0,0.0,0.0,61.0,0,1,30.20233687407937,4,0,0
IPL26-068,Manav Suthar,BOWLER,Indian,0.25,58.0,23.0,0.0,0.0,0.0,58.0,0,1,31.090418435603187,5,2,0
IPL26-069,Ishant Sharma,BOWLER,Indian,1.5,78.0,37.0,0.0,0.0,0.0,78.0,0,1,73.85683339328374,3,2,0
IPL26-070,Arshad Khan,BOWLER,Indian,0.5,64.0,26.0,0.0,9.0,357.1,64.0,0,1,100.0,4,0,0
IPL26-071,Jason Holder,ALL_ROUNDER,West Indian,1.5,,41.0,0.0,0.0,0.0,50.0,1,1,35.15427434352692,0,0,0
IPL26-072,Tom Banton,WICKET_KEEPER,English,1.0,58.0,27.0,0.0,0.0,0.0,58.0,1,1,11.554397669558991,5,2,0
IPL26-073,Ashok Sharma,BOWLER,Indian,0.25,64.0,26.0,0.0,6.0,94.13,64.0,0,1,100.0,5,1,0
IPL26-074,Luke Wood,BOWLER,English,1.0,50.0,26.0,0.0,0.0,0.0,50.0,1,1,34.86125954092192,5,0,0
IPL26-075,Prithvi Raj,BOWLER,Indian,0.25,73.0,26.0,3.0,0.0,0.0,73.0,0,1,47.22376579375525,3,0,0
IPL26-076,Sunil Narine,ALL_ROUNDER,West Indian,2.0,,37.0,0.0,0.0,0.0,50.0,1,1,19.84616999541062,4,2,0
IPL26-077,Varun Chakravarthy,BOWLER,Indian,2.0,85.0,34.0,0.0,0.0,0.0,85.0,0,1,74.17514433261302,3,0,0
IPL26-078,Rinku Singh,BATSMAN,Indian,1.5,74.0,37.0,0.0,0.0,0.0,74.0,0,1,69.46499283743927,1,1,0
IPL26-079,Harshit Rana,BOWLER,Indian,1.0,73.0,24.0,0.0,10.0,541.9,73.0,0,1,100.0,1,2,0
IPL26-080,Angkrish Raghuvanshi,BATSMAN,Indian,0.5,73.0,22.0,0.0,0.0,0.0,73.0,0,1,66.96920178674299,4,0,0
IPL26-081,Ramandeep Singh,ALL_ROUNDER,Indian,1.5,,26.0,100.0,6.0,355.97,50.0,0,1,100.0,3,2,0
IPL26-082,Ajinkya Rahane,BATSMAN,Indian,2.0,84.0,38.0,0.0,0.0,0.0,84.0,0,1,51.41173715166042,0,0,0
IPL26-083,Rovman Powell,BATSMAN,West Indian,1.5,67.0,32.0,0.0,0.0,0.0,67.0,1,1,42.36181436223178,5,0,0
IPL26-084,Vaibhav Arora,BOWLER,Indian,1.5,73.0,28.0,0.0,0.0,0.0,73.0,0,1,57.96895147105346,5,0,0
IPL26-085,Manish Pandey,BATSMAN,Indian,2.0,79.0,26.0,0.0,0.0,0.0,79.0,0,1,73.63317690683539,4,1,0
IPL26-086,Anukul Roy,BOWLER,Indian,0.5,69.0,27.0,0.0,0.0,0.0,69.0,0,1,41.81238643232065,1,1,0
IPL26-087,Umran Malik,BOWLER,Indian,1.5,65.0,26.0,0.0,5.0,0.0,65.0,0,1,42.215115350042744,1,2,0
IPL26-088,Cameron Green,ALL_ROUNDER,Australian,1.0,,26.0,0.0,0.0,0.0,50.0,1,1,13.404975389909577,5,0,0
IPL26-089,Matheesha Pathirana,BOWLER,Sri Lankan,1.5,77.0,24.0,0.0,0.0,0.0,77.0,1,1,39.05690063878994,4,0,1
IPL26-090,Mustafizur Rahman,BOWLER,Bangladeshi,1.5,77.0,30.0,0.0,13.0,258.07,77.0,1,1,100.0,3,1,0
IPL26-091,Tejasvi Singh,BATSMAN,Indian,0.25,78.0,26.0,0.0,0.0,0.0,78.0,0,1,70.18788733591298,1,0,0
IPL26-092,Finn Allen,BATSMAN,New Zealander,1.0,74.0,27.0,0.0,0.0,0.0,74.0,1,1,74.34360042856234,3,1,0
IPL26-093,Rachin Ravindra,BATSMAN,New Zealander,1.0,67.0,26.0,0.0,0.0,0.0,67.0,1,1,45.91984817629499,1,0,0
IPL26-094,Tim Seifert,WICKET_KEEPER,New Zealander,1.0,58.0,24.0,0.0,0.0,0.0,58.0,1,1,53.052993468380365,1,2,0
IPL26-095,Akash Deep,BOWLER,Indian,1.0,58.0,26.0,0.0,5.0,74.49,58.0,0,1,100.0,2,0,0
IPL26-096,Rahul Tripathi,BATSMAN,Indian,2.0,73.0,26.0,0.0,0.0,0.0,73.0,0,1,58.424540375714514,1,0,0
IPL26-097,Prashant Solanki,BOWLER,Indian,0.25,75.0,26.0,0.0,0.0,0.0,75.0,0,1,45.323203680923136,0,0,0
IPL26-098,Kartik Tyagi,BOWLER,Indian,1.0,71.0,25.0,0.0,15.0,267.17,71.0,0,1,100.0,4,0,0
IPL26-099,Sarthak Ranjan,BATSMAN,Indian,0.25,59.0,29.0,61.0,0.0,0.0,59.0,0,1,44.42093408262621,4,0,0
IPL26-100,Daksh Kamra,BATSMAN,Indian,0.25,50.0,26.0,0.0,0.0,0.0,50.0,0,1,53.07054849698954,3,1,0
IPL26-101,Rishabh Pant,WICKET_KEEPER,Indian,2.0,82.0,28.0,0.0,0.0,0.0,82.0,0,1,61.46260941335073,1,2,0
IPL26-102,Nicholas Pooran,WICKET_KEEPER,West Indian,2.0,77.0,30.0,0.0,0.0,0.0,77.0,1,1,80.4696548372101,0,0,0
IPL26-103,Mayank Yadav,BOWLER,Indian,1.0,63.0,26.0,0.0,0.0,0.0,63.0,0,1,3.703823438653835,3,1,0
IPL26-104,Mohammed Shami,BOWLER,Indian,2.0,77.0,36.0,0.0,9.0,366.12,77.0,0,1,100.0,2,1,0
IPL26-105,Mohsin Khan,BOWLER,Indian,1.5,75.0,38.0,0.0,13.0,341.0,75.0,0,1,100.0,3,1,0
IPL26-106,Ayush Badoni,BATSMAN,Indian,0.5,70.0,26.0,0.0,0.0,0.0,70.0,0,1,62.32853756562836,3,1,0
IPL26-107,Avesh Khan,BOWLER,Indian,1.5,73.0,29.0,0.0,9.0,614.92,73.0,0,1,100.0,1,1,0
IPL26-108,Abdul Samad,BATSMAN,Indian,1.5,66.0,26.0,124.0,10.0,652.13,66.0,0,1,100.0,2,2,0
IPL26-109,Mitchell Marsh,ALL_ROUNDER,Australian,1.5,,34.0,0.0,0.0,0.0,50.0,1,1,31.30570602357257,3,2,0
IPL26-110,Aiden Markram,ALL_ROUNDER,South African,1.5,,31.0,0.0,0.0,0.0,50.0,1,1,25.514889743011988,0,0,0
IPL26-111,Shahbaz Ahmed,ALL_ROUNDER,Indian,1.5,,26.0,168.0,7.0,458.64,50.0,0,1,100.0,0,0,0
IPL26-112,Matthew Breetzke,BATSMAN,South African,1.0,61.0,27.0,0.0,0.0,0.0,61.0,1,1,42.37641164803254,4,1,0
IPL26-113,Digvesh Rathi,BOWLER,Indian,0.5,65.0,26.0,0.0,0.0,0.0,65.0,0,1,15.186466280986608,2,0,0
IPL26-114,Himmat Singh,BATSMAN,Indian,0.5,66.0,29.0,173.0,0.0,101.92,66.0,0,1,100.0,2,1,0
IPL26-115,Arshin Kulkarni,BATSMAN,Indian,0.25,56.0,26.0,0.0,0.0,0.0,56.0,0,1,32.70492168243732,4,1,0
IPL26-116,Manimaran Siddharth,BOWLER,Indian,0.5,68.0,27.0,0.0,0.0,0.0,68.0,0,1,53.3566885726762,3,2,0
IPL26-117,Akash Singh,BOWLER,Indian,0.25,67.0,39.0,0.0,9.0,96.39,67.0,0,1,100.0,2,0,0
IPL26-118,Arjun Tendulkar,BOWLER,Indian,0.5,64.0,26.0,38.0,8.0,32.51,64.0,0,1,100.0,0,0,0
IPL26-119,Prince Yadav,BATSMAN,Indian,0.25,52.0,24.0,5.0,0.0,347.54,52.0,0,1,100.0,0,0,0
IPL26-120,Josh Inglis,WICKET_KEEPER,Australian,1.0,74.0,31.0,0.0,0.0,0.0,74.0,1,1,76.16841067112274,1,2,0
IPL26-121,Akshat Raghuwanshi,BATSMAN,Indian,0.25,59.0,22.0,53.0,0.0,22.82,59.0,0,1,100.0,2,2,0
IPL26-122,Mukul Choudhary,BATSMAN,Indian,0.25,71.0,21.0,0.0,0.0,0.0,71.0,0,1,43.22594672589529,3,2,0
IPL26-123,Wanindu Hasaranga,BOWLER,Sri Lankan,1.5,76.0,28.0,0.0,0.0,0.0,76.0,1,1,43.87259595660218,4,0,0
IPL26-124,Anrich Nortje,BOWLER,South African,1.5,76.0,32.0,0.0,0.0,0.0,76.0,1,1,48.47364434623195,4,0,0
IPL26-125,Naman Tiwari,BOWLER,Indian,0.25,76.0,26.0,0.0,0.0,0.0,76.0,0,1,69.73103176553111,3,1,0
IPL26-126,Rohit Sharma,BATSMAN,Indian,2.0,54.0,39.0,5.0,0.0,0.0,54.0,0,1,38.93126664489527,5,1,0
IPL26-127,Jasprit Bumrah,BOWLER,Indian,2.0,95.0,32.0,0.0,0.0,0.0,95.0,0,1,67.05359694349441,1,2,1
IPL26-128,Suryakumar Yadav,BATSMAN,Indian,2.0,84.0,35.0,0.0,0.0,0.0,84.0,0,1,71.69901149670034,4,2,0
IPL26-129,Hardik Pandya,ALL_ROUNDER,Indian,2.0,,32.0,0.0,0.0,0.0,50.0,0,1,31.456163240220604,2,2,0
IPL26-130,Tilak Varma,BATSMAN,Indian,1.5,76.0,23.0,324.0,0.0,1185.21,76.0,0,1,100.0,1,1,1
IPL26-131,Trent Boult,BOWLER,New Zealander,2.0,87.0,36.0,0.0,0.0,0.0,87.0,1,1,81.52967485799334,2,1,1
IPL26-132,Deepak Chahar,BOWLER,Indian,2.0,80.0,26.0,0.0,0.0,0.0,80.0,0,1,49.469203591839715,0,0,0
IPL26-133,Naman Dhir,BATSMAN,Indian,0.5,71.0,26.0,259.0,0.0,863.67,71.0,0,1,100.0,1,1,0
IPL26-134,Will Jacks,ALL_ROUNDER,English,1.5,,27.0,0.0,0.0,0.0,50.0,1,1,25.085067801033475,4,1,0
IPL26-135,Robin Minz,WICKET_KEEPER,Indian,0.5,55.0,23.0,0.0,0.0,0.0,55.0,0,1,29.118377703017636,1,1,0
IPL26-136,Ryan Rickelton,WICKET_KEEPER,South African,1.0,73.0,29.0,0.0,0.0,0.0,73.0,1,1,31.04727577801822,1,1,0
IPL26-137,Shardul Thakur,ALL_ROUNDER,Indian,2.0,,34.0,0.0,0.0,0.0,50.0,0,1,34.44180415596864,1,2,0
IPL26-138,Sherfane Rutherford,BATSMAN,West Indian,1.0,67.0,27.0,0.0,0.0,0.0,67.0,1,1,50.91582908269834,5,2,0
IPL26-139,Mayank Markande,BOWLER,Indian,1.5,72.0,28.0,0.0,0.0,0.0,72.0,0,1,52.07670184963691,1,2,0
IPL26-140,Allah Ghazanfar,BOWLER,Afghan,1.0,70.0,26.0,0.0,0.0,0.0,70.0,1,1,46.481192999372794,2,2,0
IPL26-141,Corbin Bosch,ALL_ROUNDER,South African,1.0,,31.0,0.0,0.0,0.0,50.0,1,1,8.769438869243785,0,0,0
IPL26-142,Mitchell Santner,ALL_ROUNDER,New Zealander,1.5,,34.0,0.0,0.0,0.0,50.0,1,1,23.690320158519615,3,0,0
IPL26-143,Ashwani Kumar,BOWLER,Indian,0.25,73.0,26.0,0.0,17.0,180.0,73.0,0,1,100.0,1,1,0
IPL26-144,Raj Angad Bawa,BATSMAN,Indian,0.5,62.0,23.0,0.0,0.0,0.0,62.0,0,1,36.85928225209846,4,0,0
IPL26-145,Raghu Sharma,BOWLER,Indian,0.25,59.0,26.0,0.0,4.0,37.39,59.0,0,1,100.0,1,2,0
IPL26-146,Quinton de Kock,WICKET_KEEPER,South African,2.0,79.0,33.0,0.0,0.0,0.0,79.0,1,1,46.96584096167572,4,1,0
IPL26-147,Atharva Ankolekar,ALL_ROUNDER,Indian,1.0,,25.0,78.0,9.0,0.0,50.0,0,1,27.580714325009865,2,2,0
IPL26-148,Mohammad Izhar,BOWLER,Indian,0.25,76.0,26.0,0.0,0.0,0.0,76.0,0,1,62.060762852218076,4,1,0
IPL26-149,Danish Malewar,BATSMAN,Indian,0.25,52.0,26.0,0.0,0.0,0.0,52.0,0,1,60.29278851815795,3,2,0
IPL26-150,Mayank Rawat,BATSMAN,Indian,0.25,56.0,26.0,24.0,0.0,0.0,56.0,0,1,38.61866719247759,0,0,0
IPL26-151,Shreyas Iyer,BATSMAN,Indian,2.0,83.0,31.0,0.0,0.0,0.0,83.0,0,1,66.86325586084146,4,0,0
IPL26-152,Arshdeep Singh,BOWLER,Indian,2.0,78.0,21.0,0.0,12.0,828.89,78.0,0,1,100.0,4,0,1
IPL26-153,Yuzvendra Chahal,BOWLER,Indian,2.0,100.0,35.0,0.0,0.0,0.0,100.0,0,1,78.8833112635075,0,0,1
IPL26-154,Marco Jansen,ALL_ROUNDER,South African,1.0,,26.0,0.0,0.0,0.0,50.0,1,1,1.2184317705143783,3,0,0
IPL26-155,Prabhsimran Singh,WICKET_KEEPER,Indian,1.5,74.0,25.0,0.0,0.0,0.0,74.0,0,1,53.602291868261744,1,1,0
IPL26-156,Harpreet Brar,ALL_ROUNDER,Indian,1.5,,30.0,91.0,13.0,492.23,50.0,0,1,100.0,4,0,0
IPL26-157,Shashank Singh,BATSMAN,Indian,1.5,73.0,26.0,193.0,0.0,1092.28,73.0,0,1,100.0,0,0,0
IPL26-158,Azmatullah Omarzai,ALL_ROUNDER,Afghan,1.0,,26.0,225.0,9.0,458.76,50.0,1,1,100.0,2,1,0
IPL26-159,Nehal Wadhera,BATSMAN,Indian,0.5,68.0,25.0,0.0,0.0,0.0,68.0,0,1,48.9034531491154,0,0,0
IPL26-160,Xavier Bartlett,BOWLER,Australian,1.0,55.0,27.0,0.0,0.0,0.0,55.0,1,1,71.94863168727929,2,0,0
IPL26-161,Lockie Ferguson,BOWLER,New Zealander,1.5,74.0,35.0,0.0,0.0,0.0,74.0,1,1,51.114585528283165,3,1,0
IPL26-162,Marcus Stoinis,ALL_ROUNDER,Australian,1.5,,36.0,0.0,0.0,0.0,50.0,1,1,34.523210135004184,1,0,0
IPL26-163,Mitch Owen,ALL_ROUNDER,Australian,1.0,,22.0,0.0,0.0,0.0,50.0,1,1,29.47932345442135,0,0,0
IPL26-164,Musheer Khan,BOWLER,Indian,0.5,61.0,26.0,0.0,1.0,9.79,61.0,0,1,98.94999999999999,5,2,0
IPL26-165,Priyansh Arya,BATSMAN,Indian,0.5,74.0,25.0,261.0,0.0,912.18,74.0,0,1,100.0,4,2,0
IPL26-166,Vyshak Vijaykumar,BOWLER,Indian,1.5,62.0,26.0,0.0,0.0,0.0,62.0,0,1,24.46982943570702,3,2,0
IPL26-167,Yash Thakur,BOWLER,Indian,0.5,67.0,26.0,0.0,8.0,223.54,67.0,0,1,100.0,0,0,0
IPL26-168,Pyla Avinash,BATSMAN,Indian,0.25,63.0,25.0,0.0,0.0,0.0,63.0,0,1,60.14234221772531,4,2,0
IPL26-169,Harnoor Pannu,BATSMAN,Indian,0.25,64.0,26.0,0.0,0.0,0.0,64.0,0,1,55.27899549030161,0,0,0
IPL26-170,Vishnu Vinod,WICKET_KEEPER,Indian,1.0,62.0,32.0,226.0,0.0,15.19,62.0,0,1,100.0,2,2,0
IPL26-171,Suryansh Shedge,BATSMAN,Indian,0.25,67.0,23.0,165.0,0.0,226.14,67.0,0,1,100.0,0,0,0
IPL26-172,Cooper Connolly,BATSMAN,Australian,1.0,75.0,22.0,0.0,0.0,0.0,75.0,1,1,66.8654792056457,5,2,0
IPL26-173,Ben Dwarshuis,BOWLER,Australian,1.0,56.0,31.0,0.0,0.0,0.0,56.0,1,1,22.359188178078917,0,0,0
IPL26-174,Praveen Dubey,BOWLER,Indian,0.25,59.0,32.0,0.0,0.0,0.0,59.0,0,1,60.041914664041485,0,0,0
IPL26-175,Vishal Nishad,BOWLER,Indian,0.25,51.0,26.0,0.0,0.0,0.0,51.0,0,1,9.972234058115788,5,0,0
IPL26-176,Yashasvi Jaiswal,BATSMAN,Indian,1.5,78.0,24.0,0.0,0.0,0.0,78.0,0,1,66.80285640700406,3,2,1
IPL26-177,Ravindra Jadeja,ALL_ROUNDER,Indian,2.0,,37.0,0.0,0.0,0.0,50.0,0,1,62.856834387149675,0,0,0
IPL26-178,Riyan Parag,ALL_ROUNDER,Indian,2.0,,24.0,0.0,0.0,0.0,50.0,0,1,15.141955123039676,5,2,0
IPL26-179,Jofra Archer,BOWLER,English,1.5,80.0,31.0,0.0,0.0,0.0,80.0,1,1,51.50553405595842,4,0,0
IPL26-180,Dhruv Jurel,WICKET_KEEPER,Indian,1.0,73.0,25.0,334.0,0.0,1059.22,73.0,0,1,100.0,2,1,0
IPL26-181,Shimron Hetmyer,BATSMAN,West Indian,2.0,72.0,29.0,0.0,0.0,0.0,72.0,1,1,53.49477047631462,2,0,0
IPL26-182,Sam Curran,ALL_ROUNDER,English,2.0,,26.0,0.0,0.0,0.0,50.0,1,1,22.447865188257012,0,0,0
IPL26-183,Sandeep Sharma,BOWLER,Indian,2.0,77.0,26.0,0.0,9.0,459.67,77.0,0,1,100.0,3,2,0
IPL26-184,Vaibhav Suryavanshi,BATSMAN,Indian,0.5,80.0,26.0,0.0,0.0,0.0,80.0,0,1,36.74004853400801,3,2,0
IPL26-185,Tushar Deshpande,BOWLER,Indian,1.5,72.0,26.0,0.0,0.0,0.0,72.0,0,1,53.02844462209041,4,0,0
IPL26-186,Shubham Dubey,BATSMAN,Indian,0.5,72.0,32.0,0.0,0.0,0.0,72.0,0,1,36.06544429410843,0,0,0
IPL26-187,Yudhvir Charak,BOWLER,Indian,0.5,66.0,26.0,0.0,0.0,0.0,66.0,0,1,53.10388645952772,2,1,0
IPL26-188,Kwena Maphaka,BOWLER,South African,0.5,52.0,20.0,0.0,0.0,0.0,52.0,1,1,18.208636486492953,3,1,0
IPL26-189,Lhuan-Dre Pretorius,BATSMAN,South African,0.5,57.0,20.0,0.0,0.0,0.0,57.0,1,1,60.24901607526309,0,0,0
IPL26-190,Nandre Burger,BOWLER,South African,1.0,70.0,30.0,0.0,0.0,0.0,70.0,1,1,38.251200614956446,3,1,0
